Chrom,Start,End
chr1,1654031,1654135
chr1,1654138,1654261
chr1,2160782,2160906
chr1,2162135,2162256
chr1,3190856,3191192
chr1,5510110,5510266
chr1,6931337,6931460
chr1,6932844,6932965
chr1,6954343,6954445
chr1,6995208,6995364
chr1,7016524,7016676
chr1,7154463,7154614
chr1,7165164,7165291
chr1,7502233,7502349
chr1,7527865,7527993
chr1,7820631,7820760
chr1,7826495,7826636
chr1,7826698,7826816
chr1,7827630,7827729
chr1,7828069,7828173
chr1,7828486,7828795
chr1,7829297,7829421
chr1,8071859,8071988
chr1,8077815,8077984
chr1,8078015,8078216
chr1,8586030,8586190
chr1,8672178,8672352
chr1,8674310,8674426
chr1,8674529,8674652
chr1,8674654,8674773
chr1,8684363,8684484
chr1,10573754,10573883
chr1,10573885,10574068
chr1,10575175,10575291
chr1,10575294,10575471
chr1,10583929,10584143
chr1,10591163,10591349
chr1,10592656,10592852
chr1,10593298,10593416
chr1,10593418,10593540
chr1,10593542,10593822
chr1,10597459,10597575
chr1,10600412,10600529
chr1,10600531,10600658
chr1,10611165,10611268
chr1,10653176,10653292
chr1,10653865,10654158
chr1,10658055,10658173
chr1,10658681,10658780
chr1,10674272,10674433
chr1,10710534,10710675
chr1,10729426,10729533
chr1,10732560,10732874
chr1,10733323,10733441
chr1,10733559,10733700
chr1,10735176,10735284
chr1,10738855,10739008
chr1,10742564,10742735
chr1,10751164,10751398
chr1,10753349,10753522
chr1,10758371,10758612
chr1,10762877,10763002
chr1,10764481,10764582
chr1,10767293,10767479
chr1,10773146,10773314
chr1,10774721,10774855
chr1,10777481,10777594
chr1,10781351,10781578
chr1,10794435,10794709
chr1,10795077,10795442
chr1,10797231,10797339
chr1,10798790,10798936
chr1,10803959,10804089
chr1,10813494,10813620
chr1,10822402,10822510
chr1,10831531,10831714
chr1,10836070,10836404
chr1,10851827,10852041
chr1,10856588,10856696
chr1,10868170,10868321
chr1,10887824,10887969
chr1,10894659,10894760
chr1,10895285,10895450
chr1,10901371,10901496
chr1,10922303,10922457
chr1,10924046,10924208
chr1,10925389,10925648
chr1,10933065,10933186
chr1,10938298,10938489
chr1,10965545,10965848
chr1,10967727,10967827
chr1,12398275,12398396
chr1,12399951,12400061
chr1,12400109,12400242
chr1,14302799,14302940
chr1,18523459,18523613
chr1,18949906,18950060
chr1,18965574,18965747
chr1,18982131,18982255
chr1,18984299,18984419
chr1,19002623,19002796
chr1,19037047,19037176
chr1,19043559,19043696
chr1,19052049,19052173
chr1,19075226,19075343
chr1,19095266,19095397
chr1,19095399,19095522
chr1,20879466,20879619
chr1,21327640,21327849
chr1,22416419,22416542
chr1,22416571,22416690
chr1,22417964,22418156
chr1,22418533,22418711
chr1,22449515,22449647
chr1,22459155,22459254
chr1,22468295,22468424
chr1,23370758,23370872
chr1,23370874,23371028
chr1,23381559,23381664
chr1,23394995,23395144
chr1,23665008,23665119
chr1,23667278,23667505
chr1,23667507,23667607
chr1,23886411,23886574
chr1,23888698,23889038
chr1,24297323,24297483
chr1,24297622,24297992
chr1,24304382,24304877
chr1,24305194,24305294
chr1,24973218,24973319
chr1,24973374,24973734
chr1,24974467,24974714
chr1,24977888,24978059
chr1,24987764,24987867
chr1,24989617,24989730
chr1,25393955,25394184
chr1,25401186,25401288
chr1,25784932,25785083
chr1,25785085,25785221
chr1,26798847,26799011
chr1,26801601,26801747
chr1,26929499,26929700
chr1,27049993,27050122
chr1,27050124,27050253
chr1,27050285,27050536
chr1,27057988,27058091
chr1,27561119,27561293
chr1,27633635,27633750
chr1,27634611,27634759
chr1,27888054,27888156
chr1,27891573,27891732
chr1,27893765,27893892
chr1,27896682,27896793
chr1,27898260,27898522
chr1,27898663,27898770
chr1,28536455,28536654
chr1,29040735,29040855
chr1,29069256,29069378
chr1,29069689,29069795
chr1,29070193,29070299
chr1,29095765,29095872
chr1,29096188,29096321
chr1,29476624,29476726
chr1,29486356,29486610
chr1,29492372,29492491
chr1,29493346,29493460
chr1,29495076,29495208
chr1,31404353,31404572
chr1,31404832,31405062
chr1,31405069,31405250
chr1,31437514,31437673
chr1,31437687,31437837
chr1,31478672,31478933
chr1,31479779,31480030
chr1,31700933,31701081
chr1,32202147,32202318
chr1,32209825,32209950
chr1,32218854,32218956
chr1,32508190,32508443
chr1,32508617,32508721
chr1,32509240,32509351
chr1,32509395,32509513
chr1,32510262,32510574
chr1,33004914,33005106
chr1,33722674,33722849
chr1,33747225,33747382
chr1,33764528,33764653
chr1,33765754,33765896
chr1,35646755,35646959
chr1,35650095,35650225
chr1,35650227,35650366
chr1,35650429,35650533
chr1,35653564,35653666
chr1,36003265,36003411
chr1,36023720,36023848
chr1,36028002,36028141
chr1,36213483,36213590
chr1,36214046,36214200
chr1,37310628,37310906
chr1,37319364,37319483
chr1,37443612,37443796
chr1,37454218,37454337
chr1,37454378,37454550
chr1,37962084,37962272
chr1,37962273,37962381
chr1,38486287,38486409
chr1,38488668,38488844
chr1,38494966,38495271
chr1,38496110,38496233
chr1,38504706,38504846
chr1,38505080,38505250
chr1,38507613,38507717
chr1,38560998,38561308
chr1,38580014,38580200
chr1,38595054,38595218
chr1,38599443,38599636
chr1,38600024,38600198
chr1,38603885,38604036
chr1,38657125,38657395
chr1,38663237,38663355
chr1,38712526,38712643
chr1,38712674,38712882
chr1,38724159,38724388
chr1,38729157,38729288
chr1,38736466,38736594
chr1,38736646,38736754
chr1,38736778,38736893
chr1,38792566,38792754
chr1,38800662,38800763
chr1,38802144,38802537
chr1,38819642,38819825
chr1,38819827,38820013
chr1,38819827,38820013
chr1,38827249,38827362
chr1,38846967,38847168
chr1,38942392,38942497
chr1,38962262,38962381
chr1,38962383,38962520
chr1,38963843,38964137
chr1,39012989,39013242
chr1,39017248,39017427
chr1,39025590,39025752
chr1,39122982,39123199
chr1,39135475,39135621
chr1,39151780,39152056
chr1,39152248,39152360
chr1,39159925,39160053
chr1,39190062,39190211
chr1,39193133,39193318
chr1,39278809,39278943
chr1,39288231,39288337
chr1,39291762,39292004
chr1,39292005,39292224
chr1,39463863,39463975
chr1,39469883,39470006
chr1,39471390,39471593
chr1,40746966,40747132
chr1,41780853,41781012
chr1,41807849,41808037
chr1,41827873,41828027
chr1,41832298,41832510
chr1,41841782,41841890
chr1,41846621,41846795
chr1,41972109,41972216
chr1,41990450,41990601
chr1,42384088,42384228
chr1,42384349,42384457
chr1,42642203,42642329
chr1,42642450,42642583
chr1,42645070,42645198
chr1,42656955,42657073
chr1,43161817,43161990
chr1,43162493,43162596
chr1,43166540,43166711
chr1,44085746,44085904
chr1,44089169,44089333
chr1,44429725,44430039
chr1,44684255,44684369
chr1,44694042,44694293
chr1,44701605,44701741
chr1,44704517,44704686
chr1,44705508,44705667
chr1,44708581,44708692
chr1,44714403,44714536
chr1,44715503,44715608
chr1,44715633,44715889
chr1,44723676,44723784
chr1,44723824,44724002
chr1,44726931,44727134
chr1,44729864,44729967
chr1,44761833,44762020
chr1,44762591,44762753
chr1,44763354,44763498
chr1,44778644,44778880
chr1,44786304,44786447
chr1,44792200,44792381
chr1,44804748,44805011
chr1,44819376,44819510
chr1,44874935,44875333
chr1,44875343,44875501
chr1,44877422,44877554
chr1,44877756,44877855
chr1,44879582,44879711
chr1,44938842,44939047
chr1,44951380,44951621
chr1,44971177,44971368
chr1,44971370,44971491
chr1,44979239,44979421
chr1,44988680,44988792
chr1,44988836,44988947
chr1,44990296,44990617
chr1,44990678,44990790
chr1,44990791,44990902
chr1,45002297,45002522
chr1,45006031,45006234
chr1,45006268,45006432
chr1,45009017,45009205
chr1,45012041,45012272
chr1,45025040,45025193
chr1,45034856,45035231
chr1,45042254,45042353
chr1,45046833,45046989
chr1,45063970,45064161
chr1,45068439,45068631
chr1,45068728,45068832
chr1,45069202,45069316
chr1,45075892,45076002
chr1,45076661,45076770
chr1,45083078,45083185
chr1,45085085,45085192
chr1,45087913,45088013
chr1,45090381,45090568
chr1,45102115,45102280
chr1,45103552,45103714
chr1,45103933,45104049
chr1,45107288,45107401
chr1,45111949,45112148
chr1,46921608,46921783
chr1,46921841,46921952
chr1,46926342,46926486
chr1,46929840,46929988
chr1,46949172,46949337
chr1,46951270,46951398
chr1,46953768,46953920
chr1,46963411,46963564
chr1,47040414,47040537
chr1,47040625,47040730
chr1,47040846,47041046
chr1,47041048,47041158
chr1,47050048,47050149
chr1,47878305,47878497
chr1,47998940,47999118
chr1,48002448,48002575
chr1,48012640,48012830
chr1,48024493,48024716
chr1,48283577,48283703
chr1,48285123,48285236
chr1,49344676,49344842
chr1,49651178,49651393
chr1,50440682,50440833
chr1,50571267,50571449
chr1,50571489,50571661
chr1,50571805,50571919
chr1,50574338,50574518
chr1,50574548,50574674
chr1,50575371,50575481
chr1,50576409,50576646
chr1,50610230,50610395
chr1,50612558,50612684
chr1,50612686,50612786
chr1,50613059,50613171
chr1,50623179,50623321
chr1,50641665,50641795
chr1,50642752,50642870
chr1,50643857,50643992
chr1,50658340,50658611
chr1,50662956,50663171
chr1,50663289,50663406
chr1,50666755,50666856
chr1,50666930,50667054
chr1,50667612,50667799
chr1,50667830,50668007
chr1,50668370,50668494
chr1,50668763,50668961
chr1,50709412,50709533
chr1,50727734,50727931
chr1,50919106,50919224
chr1,50938424,50938574
chr1,51006231,51006465
chr1,51025094,51025244
chr1,51025359,51025460
chr1,51031109,51031317
chr1,51031333,51031571
chr1,51031573,51031697
chr1,51035819,51036023
chr1,51043617,51043880
chr1,51099132,51099284
chr1,51099286,51099479
chr1,51099481,51099614
chr1,51117310,51117434
chr1,51162610,51162740
chr1,51165399,51165518
chr1,51165540,51165682
chr1,51166034,51166270
chr1,51169447,51169577
chr1,51169579,51169698
chr1,51169747,51169864
chr1,51171435,51171586
chr1,51736817,51737006
chr1,51737460,51737615
chr1,52135044,52135215
chr1,52732267,52732438
chr1,52798425,52798617
chr1,52947089,52947227
chr1,54056669,54056852
chr1,54122109,54122271
chr1,54122275,54122386
chr1,54151225,54151332
chr1,54172357,54172457
chr1,54176429,54176587
chr1,54821619,54821827
chr1,54853037,54853140
chr1,54853209,54853369
chr1,54856194,54856324
chr1,57936512,57936671
chr1,58349006,58349117
chr1,58349149,58349341
chr1,59324933,59325056
chr1,59336159,59336276
chr1,60196918,60197018
chr1,60197933,60198065
chr1,60695200,60695310
chr1,60695312,60695439
chr1,60700540,60700661
chr1,60700670,60700782
chr1,60969089,60969258
chr1,61086922,61087050
chr1,61087192,61087383
chr1,61102738,61102879
chr1,61324186,61324323
chr1,61324325,61324429
chr1,61328058,61328262
chr1,61330557,61330684
chr1,61330859,61331160
chr1,61332050,61332208
chr1,61332999,61333128
chr1,61356994,61357186
chr1,61357746,61357995
chr1,61361327,61361635
chr1,61418474,61418695
chr1,61435877,61435996
chr1,61543539,61543655
chr1,61544981,61545120
chr1,61545122,61545252
chr1,61545556,61545671
chr1,61545713,61545886
chr1,61548701,61548803
