window_number,gene_serial,genes,chrom,gene_start,gene_end
542,115,HOXA1, chr7,27092993,27096000
542,129,HOTAIRM1, chr7,27096124,27099966
543,126,HOXA2, chr7,27100354,27102683
543,116,HOXA3, chr7,27107010,27152583
543,113,HOXA-AS2, chr7,27108005,27122879
543,117,HOXA4, chr7,27128507,27130780
543,125,HOXA5, chr7,27141052,27143681
543,124,HOXA6, chr7,27145396,27147774
543,120,HOXA-AS3, chr7,27147163,27155928
544,116,HOXA3, chr7,27107010,27152583
544,120,HOXA-AS3, chr7,27147163,27155928
544,123,HOXA7, chr7,27153716,27156675
544,121,HOXA9, chr7,27162438,27165537
544,119,HOXA10-AS, chr7,27168899,27171915
544,122,HOXA10, chr7,27170605,27174320
544,127,HOXA11, chr7,27181157,27185232
544,118,HOXA11-AS, chr7,27184671,27189169
544,114,HOXA13, chr7,27194364,27200091
545,114,HOXA13, chr7,27194364,27200091
545,128,HOTTIP, chr7,27201844,27207259
1490,130,GTF2IRD1, chr7,74453906,74602605
1491,130,GTF2IRD1, chr7,74453906,74602605
1492,130,GTF2IRD1, chr7,74453906,74602605
1493,130,GTF2IRD1, chr7,74453906,74602605
2018,132,TRIP6, chr7,100867387,100873454
2977,131,EZH2, chr7,148807385,148884245
2978,131,EZH2, chr7,148807385,148884245
