window_number,gene_serial,genes,chrom,gene_start,gene_end
667,2,PHC2, chr1,33323626,33349885
2142,7,PRMT6, chr1,107056674,107059294
2207,1,RBM15, chr1,110338506,110346673
3292,3,PBX1, chr1,164559184,164851831
3293,3,PBX1, chr1,164559184,164851831
3294,3,PBX1, chr1,164559184,164851831
3295,3,PBX1, chr1,164559184,164851831
3296,3,PBX1, chr1,164559184,164851831
3297,3,PBX1, chr1,164559184,164851831
3298,3,PBX1, chr1,164559184,164851831
3701,4,RNF2, chr1,185045558,185102603
3702,4,RNF2, chr1,185045558,185102603
3703,4,RNF2, chr1,185045558,185102603
3863,5,CDC73, chr1,193122031,193254815
3864,5,CDC73, chr1,193122031,193254815
3865,5,CDC73, chr1,193122031,193254815
3866,5,CDC73, chr1,193122031,193254815
4055,6,KDM5B, chr1,202724495,202808421
4056,6,KDM5B, chr1,202724495,202808421
4057,6,KDM5B, chr1,202724495,202808421
