Chrom,Start,End
chr1,1716723,1716798
chr1,1717503,1717578
chr1,1718321,1718399
chr1,11082259,11082329
chr1,11083396,11083478
chr1,11083480,11083550
chr1,16719782,16719863
chr1,16721742,16721813
chr1,16721932,16722015
chr1,16724568,16724642
chr1,21276481,21276565
chr1,23636298,23636370
chr1,23637224,23637296
chr1,23637688,23637755
chr1,24297154,24297219
chr1,24301517,24301589
chr1,24304382,24304461
chr1,24977888,24977968
chr1,26441028,26441092
chr1,26798923,26799007
chr1,27023066,27023137
chr1,27023173,27023245
chr1,27023387,27023467
chr1,27023501,27023568
chr1,27023735,27023811
chr1,27099397,27099480
chr1,27106630,27106697
chr1,27107186,27107267
chr1,27107818,27107886
chr1,27108402,27108471
chr1,29040839,29040912
chr1,29069080,29069153
chr1,29069830,29069909
chr1,29070199,29070266
chr1,29070325,29070389
chr1,29493388,29493463
chr1,32508287,32508352
chr1,32508372,32508443
chr1,35365765,35365841
chr1,35835623,35835706
chr1,39951398,39951472
chr1,39951488,39951563
chr1,39952539,39952613
chr1,43148081,43148145
chr1,43167882,43167947
chr1,43167949,43168020
chr1,50661331,50661398
chr1,50666989,50667054
chr1,54708920,54709003
chr1,61921734,61921812
chr1,61922071,61922144
chr1,61923431,61923508
chr1,61923598,61923673
chr1,61923902,61923967
chr1,61924147,61924217
chr1,61928362,61928428
chr1,63788763,63788836
chr1,63789312,63789385
chr1,63790698,63790771
chr1,67507914,67507993
chr1,70694127,70694197
chr1,70697824,70697907
chr1,78414404,78414482
chr1,78762338,78762402
chr1,87794771,87794840
chr1,87797693,87797763
chr1,87805742,87805821
chr1,87805829,87805899
chr1,90470695,90470761
chr1,93580256,93580326
chr1,93581039,93581103
chr1,97236285,97236352
chr1,97270436,97270501
chr1,97278887,97278957
chr1,97279556,97279631
chr1,97279848,97279920
chr1,100548696,100548767
chr1,112247031,112247098
chr1,112255120,112255197
chr1,114300300,114300365
chr1,114308945,114309018
chr1,114319827,114319893
chr1,114939207,114939272
chr1,115292760,115292830
chr1,147084941,147085007
chr1,150312865,150312942
chr1,150325357,150325421
chr1,154215717,154215787
chr1,154224014,154224087
chr1,154235556,154235639
chr1,154522426,154522497
chr1,154522499,154522574
chr1,154522576,154522640
chr1,154522745,154522818
chr1,155223906,155223979
chr1,155238662,155238738
chr1,155242979,155243046
chr1,164528529,164528595
chr1,164776819,164776895
chr1,165172901,165172978
chr1,173702849,173702923
chr1,173703258,173703334
chr1,173907560,173907643
chr1,185267294,185267364
chr1,185274727,185274809
chr1,190067090,190067165
chr1,197900164,197900233
chr1,200374460,200374544
chr1,200375727,200375809
chr1,200376043,200376116
chr1,200376504,200376586
chr1,200377800,200377876
chr1,205065974,205066048
chr1,211477412,211477487
chr1,223536725,223536796
chr1,224576785,224576852
chr1,224576904,224576981
chr1,229728860,229728941
chr1,229730507,229730577
chr1,243349109,243349182
chr1,243349219,243349289
chr1,243349291,243349364
chr1,244201297,244201374
chr1,244214629,244214694
chr1,244217389,244217465
chr1,244217638,244217705
chr1,244229493,244229575
