window_number,gene_serial,genes,chrom,gene_start,gene_end
6,21,KDM5A, chr12,280057,389320
7,21,KDM5A, chr12,280057,389320
8,21,KDM5A, chr12,280057,389320
179,22,PHC1, chr12,8914509,8941467
1079,26,HOXC13-AS, chr12,53935328,53939643
1079,34,HOXC13, chr12,53938831,53946544
1080,33,HOXC12, chr12,53954903,53958956
1080,20,HOTAIR, chr12,53962308,53974956
1080,23,HOXC11, chr12,53973126,53977643
1080,24,HOXC-AS3, chr12,53983951,53985519
1080,30,HOXC10, chr12,53985146,53990279
1080,25,HOXC-AS2, chr12,53995208,53996785
1080,27,HOXC9, chr12,53995509,54003298
1080,28,HOXC-AS1, chr12,53999022,54000010
1081,27,HOXC9, chr12,53995509,54003298
1081,28,HOXC-AS1, chr12,53999022,54000010
1081,35,HOXC8, chr12,54008985,54012769
1081,31,HOXC4, chr12,54016931,54055327
1081,36,ENSG00000273046, chr12,54017110,54035361
1081,32,HOXC6, chr12,54028440,54030823
1081,29,HOXC5, chr12,54033050,54035361
1082,31,HOXC4, chr12,54016931,54055327
