window_number,gene_serial,genes,chrom,gene_start,gene_end
56,50,PCGF2, chr17,2769217,2785136
157,52,KDM6B, chr17,7839904,7854796
158,52,KDM6B, chr17,7839904,7854796
639,67,SUZ12, chr17,31937007,32001038
640,67,SUZ12, chr17,31937007,32001038
641,67,SUZ12, chr17,31937007,32001038
775,49,PCGF2, chr17,38733898,38749817
971,63,HOXB1, chr17,48528526,48531011
971,60,HOXB2, chr17,48542655,48545109
971,58,HOXB-AS1, chr17,48544351,48551250
971,53,HOXB3, chr17,48548870,48590241
972,58,HOXB-AS1, chr17,48544351,48551250
972,53,HOXB3, chr17,48548870,48590241
972,57,HOXB-AS2, chr17,48557262,48560333
972,59,HOXB4, chr17,48575507,48578350
972,56,HOXB-AS3, chr17,48590442,48601921
972,65,HOXB5, chr17,48591257,48593779
972,54,HOXB6, chr17,48595751,48604992
973,56,HOXB-AS3, chr17,48590442,48601921
973,54,HOXB6, chr17,48595751,48604992
973,64,HOXB7, chr17,48607232,48611017
973,66,HOXB8, chr17,48612346,48615292
973,61,HOXB9, chr17,48621156,48626358
973,55,HOXB-AS4, chr17,48628675,48634932
975,62,HOXB13, chr17,48724763,48728750
1146,68,MSI2, chr17,57256523,57684689
1147,68,MSI2, chr17,57256523,57684689
1148,68,MSI2, chr17,57256523,57684689
1149,68,MSI2, chr17,57256523,57684689
1150,68,MSI2, chr17,57256523,57684689
1151,68,MSI2, chr17,57256523,57684689
1152,68,MSI2, chr17,57256523,57684689
1153,68,MSI2, chr17,57256523,57684689
1154,68,MSI2, chr17,57256523,57684689
1596,51,CBX2, chr17,79778148,79787983
1596,47,CBX8, chr17,79792132,79797077
1597,48,CBX4, chr17,79833156,79839440
