window_number,gene_serial,genes,chrom,gene_start,gene_end
1329,72,MEIS1, chr2,66435125,66573869
1330,72,MEIS1, chr2,66435125,66573869
1331,72,MEIS1, chr2,66435125,66573869
1332,72,MEIS1, chr2,66435125,66573869
1491,73,PCGF1, chr2,74505043,74507695
1491,71,TLX2, chr2,74514450,74517148
3522,85,EVX2, chr2,176077472,176083962
3522,78,HOXD13, chr2,176092721,176095944
3522,77,HOXD12, chr2,176099795,176102489
3523,77,HOXD12, chr2,176099795,176102489
3523,81,HOXD11, chr2,176107280,176109754
3523,82,HOXD10, chr2,176116778,176119937
3523,76,HOXD-AS2, chr2,176121611,176137013
3523,83,HOXD9, chr2,176122719,176124937
3523,75,HOXD8, chr2,176130357,176132000
3524,80,HOXD4, chr2,176151550,176153226
3524,74,HOXD3, chr2,176157307,176173098
3524,84,HAGLR, chr2,176173002,176188531
3524,79,HOXD1, chr2,176188668,176190907
4323,86,XRCC5, chr2,216107464,216206303
4324,86,XRCC5, chr2,216107464,216206303
4325,86,XRCC5, chr2,216107464,216206303
