Chrom,Start,End
chr1,6843903,6844385
chr1,6846105,6846583
chr1,6846946,6847414
chr1,11082133,11082593
chr1,11082634,11083189
chr1,11083211,11083756
chr1,11338350,11338804
chr1,12512802,12513330
chr1,12524861,12525305
chr1,12533769,12534258
chr1,12534260,12534699
chr1,19164484,19165040
chr1,19166088,19166527
chr1,27742321,27742830
chr1,28066786,28067352
chr1,28071346,28071779
chr1,28079768,28080318
chr1,32384561,32385005
chr1,32389455,32389997
chr1,32396075,32396602
chr1,32503407,32503868
chr1,32508096,32508525
chr1,35580384,35580922
chr1,35733892,35734455
chr1,35735196,35735677
chr1,36359584,36360064
chr1,36371538,36371988
chr1,36385326,36385864
chr1,36750272,36750773
chr1,36751948,36752436
chr1,36753984,36754466
chr1,36756688,36757221
chr1,36844357,36844877
chr1,36851955,36852479
chr1,38002845,38003301
chr1,40362302,40362750
chr1,40363964,40364465
chr1,40701995,40702449
chr1,40702841,40703369
chr1,40703939,40704405
chr1,44358343,44358797
chr1,44365462,44365976
chr1,44422180,44422720
chr1,44422743,44423232
chr1,44424006,44424571
chr1,45139917,45140473
chr1,45241304,45241844
chr1,45268359,45268837
chr1,46744397,46744947
chr1,46745853,46746328
chr1,46751387,46751949
chr1,50556752,50557297
chr1,50570154,50570661
chr1,50571546,50572034
chr1,51024937,51025431
chr1,51025714,51026198
chr1,51168168,51168670
chr1,51169448,51169951
chr1,51171197,51171731
chr1,51436607,51437129
chr1,52237420,52237902
chr1,52249873,52250430
chr1,52253012,52253553
chr1,52257711,52258141
chr1,57159402,57159855
chr1,61545441,61545958
chr1,61549581,61550109
chr1,61551758,61552257
chr1,61557091,61557534
chr1,61563383,61563852
chr1,61564647,61565120
chr1,61582719,61583189
chr1,61584792,61585338
chr1,61585899,61586349
chr1,61649850,61650380
chr1,61672912,61673395
chr1,61676376,61676900
chr1,61921598,61922046
chr1,61922743,61923286
chr1,61923320,61923858
chr1,62046938,62047491
chr1,62069518,62070005
chr1,63332768,63333205
chr1,63347597,63348097
chr1,66482358,66482913
chr1,66820931,66821381
chr1,66832378,66832876
chr1,70507194,70507631
chr1,70509360,70509854
chr1,70688410,70688878
chr1,70695902,70696444
chr1,70697195,70697707
chr1,74798702,74799267
chr1,84631892,84632435
chr1,84647572,84648110
chr1,86044028,86044499
chr1,86048990,86049512
chr1,86801933,86802467
chr1,86814137,86814680
chr1,87602334,87602878
chr1,87617376,87617925
chr1,87620691,87621159
chr1,88927533,88928077
chr1,88940006,88940472
chr1,90642255,90642698
chr1,90643086,90643637
chr1,91193478,91194021
chr1,91194400,91194855
chr1,91300564,91301018
chr1,91306574,91307025
chr1,91310877,91311393
chr1,91385575,91386077
chr1,91399716,91400241
chr1,91402406,91402940
chr1,91409410,91409873
chr1,92814543,92815044
chr1,93304155,93304588
chr1,93304930,93305395
chr1,93329654,93330178
chr1,93329654,93330178
chr1,93341707,93342198
chr1,93599594,93600080
chr1,93602195,93602689
chr1,93602690,93603151
chr1,93617805,93618312
chr1,98919989,98920481
chr1,98923195,98923760
chr1,100345799,100346361
chr1,100349814,100350348
chr1,103469614,103470110
chr1,103490896,103491460
chr1,103491573,103492107
chr1,109777641,109778193
chr1,109779735,109780248
chr1,109794502,109795025
chr1,109795609,109796067
chr1,110150552,110151039
chr1,110554077,110554564
chr1,110561363,110561850
chr1,110883216,110883716
chr1,110884552,110885119
chr1,110890087,110890633
chr1,110906297,110906749
chr1,111145092,111145544
chr1,111147376,111147816
chr1,111493833,111494382
chr1,111494384,111494821
chr1,111495858,111496362
chr1,112308275,112308765
